Character,Rarity,Skill Name,RoomType,BuffCategory,Skill Description,Required Level
Rope,4,Clue Collection·β,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +20%",Lvl 1
,,Negotiation,TRADING,OUTPUT,"When stationed at a Trade Station, order limit +3 and mood reduction per hour -0.25",Elite 1 Lvl 1
Gravel,4,Focus·α,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing any kind of material, increase the rate of by-products by 40%",Lvl 1
,,Metal Crafts·β,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of precious metals by +35%",Elite 1 Lvl 1
Shaw,4,Engineering,WORKSHOP,FUNCTION,"When stationed at the Synthesis Station and producing infrastructure materials, increase the rate of by-products by 70%",Lvl 1
,,Equipment Maintenance,POWER,OUTPUT,"When stationed at a Power Station, drone recovery per hour +15%",Elite 1 Lvl 1
Projekt Red,5,S.W.E.E.P,CONTROL,FUNCTION,"When stationed at the Command Center, mood reduction per hour of other operatives in the Command Center -0.05",Lvl 1
,,Tracker,MEETING,FUNCTION,"When stationed at Reception, clue collection speed +25%",Elite 2 Lvl 1
Cliffheart,5,Explorer's Enthusiasm,DORMITORY,RECOVERY,"When stationed at a Dorm, increase mood recovery of one random operator below maximum mood except self within that dorm by +0.25 per hour (When stacked, only the highest effect becomes active); At the same time, self mood recovery per hour +0.5",Lvl 1
,,Karlan Trading·β,TRADING,OUTPUT,"When stationed at a Trade Station, order acquisition efficiency +15% and order limit +2",Elite 2 Lvl 1
Manticore,5,Specialist Specialization·α,TRAINING,FUNCTION,"When stationed at the Training Station, reduce the skill training time of Specialist operatives by -30%",Lvl 1
,,Specialist Specialization·β,TRAINING,FUNCTION,"When stationed at the Training Station, reduce the skill training time of Specialist operatives by -50%",Elite 2 Lvl 1
FEater,5,Combat Directive Recordings,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of EXP cards by +30%",Lvl 1
,,Boxing Guide Recordings,MANUFACTURE,OUTPUT,"When stationed at a Craft Station, increase production of EXP cards by +35%",Elite 2 Lvl 1